Transient Name,Epoch,Peak Flux,RMS Flux,Delta T
ZTF18absdxpk,VLASS1.1v2,0.272,0.122,-297.15
ZTF18absdxpk,VLASS2.1,0.336,0.163,730.85
ZTF18absdxpk,VLASS3.1,0.342,0.101,1583.85
ZTF18absgnbm,VLASS1.1v2,0.319,0.132,-329.26
ZTF18absgnbm,VLASS2.1,0.369,0.165,683.74
ZTF18absgnbm,VLASS3.1,0.371,0.163,1617.74
ZTF18absgnio,VLASS1.1v2,0.223,0.099,-311.26
ZTF18absgnio,VLASS2.1,0.275,0.148,727.74
ZTF18absgnio,VLASS3.1,0.205,0.094,1629.74
ZTF18abshezu,VLASS1.2v2,0.389,0.187,220.76
ZTF18abshezu,VLASS2.2,0.332,0.131,1199.76
ZTF18abshmro,VLASS1.2v2,0.504,0.188,292.56
ZTF18abshmro,VLASS2.2,0.287,0.136,1246.56
ZTF18abshtdj,VLASS1.1v2,0.206,0.11,-281.38
ZTF18abshtdj,VLASS2.1,0.432,0.176,696.62
ZTF18abshtdj,VLASS3.1,0.236,0.116,1701.62
ZTF18abskove,VLASS1.1v2,0.343,0.142,-310.23
ZTF18abskove,VLASS2.1,0.407,0.176,764.77
ZTF18abskove,VLASS3.1,0.288,0.118,1649.77
ZTF18abskoyh,VLASS1.2v2,0.284,0.121,214.71
ZTF18abskoyh,VLASS2.2,0.371,0.136,1118.71
ZTF18abskzjm,VLASS1.1v2,0.468,0.157,-331.38
ZTF18abskzjm,VLASS2.1,0.362,0.149,718.62
ZTF18abskzjm,VLASS3.1,0.494,0.149,1648.62
ZTF18absldfl,VLASS1.2v2,0.579,0.234,206.53
ZTF18absldfl,VLASS2.2,0.394,0.124,1132.53
ZTF18absliyc,VLASS1.1v2,0.277,0.138,-274.36
ZTF18absliyc,VLASS2.1,0.292,0.147,670.64
ZTF18absliyc,VLASS3.1,0.407,0.142,1602.64
ZTF18absnqyo,VLASS1.2v2,0.341,0.147,215.73
ZTF18absnqyo,VLASS2.2,0.259,0.112,1133.73
ZTF18absoomk,VLASS1.2v2,0.347,0.13,186.66
ZTF18absoomk,VLASS2.2,0.342,0.138,1157.66
ZTF18abspqsn,VLASS1.2v2,0.659,0.167,250.73
ZTF18abspqsn,VLASS2.2,0.315,0.127,1119.73
ZTF18absqhza,VLASS1.2v2,0.328,0.135,186.57
ZTF18absqhza,VLASS2.2,0.232,0.092,1186.57
ZTF18absspcp,VLASS1.1v2,0.247,0.091,-340.17
ZTF18absspcp,VLASS2.1,0.437,0.182,671.83
ZTF18absspcp,VLASS3.1,0.352,0.109,1600.83
ZTF18absstyb,VLASS1.1v2,0.354,0.103,-352.2
ZTF18absstyb,VLASS2.1,0.477,0.172,671.8
ZTF18absstyb,VLASS3.1,0.525,0.176,1586.8
ZTF18abssuxz,VLASS1.2v2,0.351,0.118,229.81
ZTF18abssuxz,VLASS2.2,0.26,0.124,1154.81
ZTF18absyyig,VLASS1.1v2,0.184,0.121,-350.36
ZTF18absyyig,VLASS2.1,0.516,0.181,702.64
ZTF18absyyig,VLASS3.1,0.338,0.156,1603.64
ZTF18abtfrbf,VLASS1.1v2,0.263,0.116,-274.33
ZTF18abtfrbf,VLASS2.1,0.362,0.132,670.67
ZTF18abtfrbf,VLASS3.1,0.329,0.136,1602.67
ZTF18abtfvsk,VLASS1.1v2,0.225,0.136,-288.43
ZTF18abtfvsk,VLASS2.1,0.322,0.139,737.57
ZTF18abtfvsk,VLASS3.1,0.336,0.117,1708.57
ZTF18abtgkdo,VLASS1.2v2,1.666,0.171,265.57
ZTF18abtgkdo,VLASS2.2,1.756,0.159,1125.57
ZTF18abtkqkb,VLASS1.2v2,0.323,0.138,286.71
ZTF18abtkqkb,VLASS2.2,0.263,0.12,1238.71
ZTF18abtmbaz,VLASS1.2v2,0.355,0.129,172.55
ZTF18abtmbaz,VLASS2.2,0.359,0.111,1151.55
ZTF18abtmtfy,VLASS1.1v2,0.306,0.111,-341.44
ZTF18abtmtfy,VLASS2.1,0.362,0.157,725.56
ZTF18abtmtfy,VLASS3.1,0.354,0.157,1601.56
ZTF18abtnlik,VLASS1.1v2,0.265,0.112,-374.25
ZTF18abtnlik,VLASS2.1,0.46,0.145,692.75
ZTF18abtnlik,VLASS3.1,0.289,0.111,1619.75
ZTF18abtogdl,VLASS1.1v2,0.251,0.113,-373.18
ZTF18abtogdl,VLASS2.1,0.35,0.158,680.82
ZTF18abtogdl,VLASS3.1,0.339,0.124,1601.82
ZTF18abtqevs,VLASS1.2v2,0.473,0.145,265.59
ZTF18abtqevs,VLASS2.2,0.41,0.149,1134.59
ZTF18abtrknw,VLASS1.1v2,0.385,0.137,-340.4
ZTF18abtrknw,VLASS2.1,0.397,0.157,710.6
ZTF18abtrknw,VLASS3.1,0.36,0.126,1604.6
ZTF18abtrvkm,VLASS1.2v2,0.4,0.115,219.59
ZTF18abtrvkm,VLASS2.2,0.751,0.12,1143.59
ZTF18abtswjk,VLASS1.1v2,0.319,0.138,-310.4
ZTF18abtswjk,VLASS2.1,0.348,0.14,720.6
ZTF18abtswjk,VLASS3.1,0.332,0.136,1612.6
ZTF18abtvgxv,VLASS1.2v2,0.355,0.158,292.73
ZTF18abtvgxv,VLASS2.2,0.459,0.167,1236.73
ZTF18abtvhef,VLASS1.2v2,0.391,0.157,295.79
ZTF18abtvhef,VLASS2.2,0.443,0.111,1251.79
ZTF18abtvstb,VLASS1.1v2,0.251,0.115,-201.27
ZTF18abtvstb,VLASS2.1,0.333,0.142,784.73
ZTF18abtvstb,VLASS3.1,0.337,0.146,1739.73
ZTF18abtxvhy,VLASS1.1v2,0.235,0.106,-310.35
ZTF18abtxvhy,VLASS2.1,0.389,0.161,711.65
ZTF18abtxvhy,VLASS3.1,0.263,0.141,1677.65
ZTF18abtzzka,VLASS1.2v2,0.312,0.13,243.55
ZTF18abtzzka,VLASS2.2,0.236,0.103,1168.55
ZTF18abuatfp,VLASS1.1v2,0.309,0.099,-301.14
ZTF18abuatfp,VLASS2.1,0.648,0.188,685.86
ZTF18abuatfp,VLASS3.1,0.277,0.094,1606.86
ZTF18abucvbf,VLASS1.1v2,0.312,0.111,-352.19
ZTF18abucvbf,VLASS2.1,0.369,0.128,691.81
ZTF18abucvbf,VLASS3.1,0.357,0.12,1624.81
ZTF18abucxcj,VLASS1.1v2,1.746,0.213,-345.12
ZTF18abucxcj,VLASS2.1,2.082,0.249,722.88
ZTF18abucxcj,VLASS3.1,2.145,0.238,1615.88
ZTF18abugthp,VLASS1.1v2,0.37,0.12,-639.5
ZTF18abugthp,VLASS2.1,0.428,0.156,435.5
ZTF18abugthp,VLASS3.1,0.483,0.137,1312.5
ZTF18abuhyjv,VLASS1.1v2,0.296,0.138,-298.45
ZTF18abuhyjv,VLASS2.1,0.342,0.17,732.55
ZTF18abuhyjv,VLASS3.1,0.349,0.151,1624.55
ZTF18abuhzfc,VLASS1.1v2,0.318,0.114,-303.33
ZTF18abuhzfc,VLASS2.1,0.295,0.114,722.67
ZTF18abuhzfc,VLASS3.1,0.209,0.103,1693.67
ZTF18abuicad,VLASS1.1v2,0.231,0.101,-383.23
ZTF18abuicad,VLASS2.1,0.396,0.161,666.77
ZTF18abuicad,VLASS3.1,0.298,0.125,1596.77
ZTF18abujbio,VLASS1.2v2,0.393,0.143,236.48
ZTF18abujbio,VLASS2.2,0.296,0.095,1159.48
ZTF18abujnlz,VLASS1.2v2,0.326,0.151,215.48
ZTF18abujnlz,VLASS2.2,0.38,0.111,1127.48
ZTF18abukavn,VLASS1.2v2,0.297,0.134,232.8
ZTF18abukavn,VLASS2.2,0.242,0.113,1157.8
ZTF18abulkrl,VLASS1.2v2,0.342,0.134,216.82
ZTF18abulkrl,VLASS2.2,0.279,0.109,1107.82
ZTF18abuncpe,VLASS1.2v2,0.308,0.139,214.69
ZTF18abuncpe,VLASS2.2,0.53,0.177,1114.69
ZTF18abupgps,VLASS1.1v2,0.416,0.134,-348.27
ZTF18abupgps,VLASS2.1,0.242,0.127,689.73
ZTF18abupgps,VLASS3.1,0.357,0.163,1579.73
ZTF18abupgql,VLASS1.1v2,0.509,0.214,-283.37
ZTF18abupgql,VLASS2.1,0.405,0.177,680.63
ZTF18abupgql,VLASS3.1,0.414,0.163,1579.63
ZTF18abupiap,VLASS1.2v2,0.334,0.142,225.52
ZTF18abupiap,VLASS2.2,0.391,0.133,1247.52
ZTF18abuqhje,VLASS1.1v2,0.343,0.125,-326.5
ZTF18abuqhje,VLASS2.1,0.428,0.15,742.5
ZTF18abuqhje,VLASS3.1,0.469,0.165,1598.5
ZTF18abuqugw,VLASS1.1v2,0.292,0.091,-345.12
ZTF18abuqugw,VLASS2.1,0.358,0.138,722.88
ZTF18abuqugw,VLASS3.1,0.316,0.111,1615.88
ZTF18abuxjrd,VLASS1.1v2,0.36,0.113,-353.41
ZTF18abuxjrd,VLASS2.1,0.409,0.17,676.59
ZTF18abuxjrd,VLASS3.1,0.402,0.124,1593.59
ZTF18abuykiu,VLASS1.2v2,0.479,0.151,299.56
ZTF18abuykiu,VLASS2.2,0.317,0.144,1250.56
ZTF18abvejbm,VLASS1.1v2,0.535,0.195,-287.34
ZTF18abvejbm,VLASS2.1,0.782,0.231,676.66
ZTF18abvejbm,VLASS3.1,0.65,0.174,1575.66
ZTF18abvejqt,VLASS1.1v2,0.22,0.128,-391.1
ZTF18abvejqt,VLASS2.1,0.487,0.173,653.9
ZTF18abvejqt,VLASS3.1,0.333,0.141,1536.9
ZTF18abvfecb,VLASS1.1v2,0.224,0.109,-312.44
ZTF18abvfecb,VLASS2.1,0.358,0.146,707.56
ZTF18abvfecb,VLASS3.1,0.364,0.133,1678.56
ZTF18abvfjwt,VLASS1.1v2,0.283,0.108,-319.51
ZTF18abvfjwt,VLASS2.1,0.369,0.17,681.49
ZTF18abvfjwt,VLASS3.1,0.324,0.124,1603.49
ZTF18abvgivy,VLASS1.2v2,0.401,0.125,232.49
ZTF18abvgivy,VLASS2.2,0.279,0.105,1175.49
ZTF18abvgjft,VLASS1.2v2,0.361,0.131,195.5
ZTF18abvgjft,VLASS2.2,0.276,0.115,1171.5
ZTF18abvgjgb,VLASS1.2v2,0.287,0.104,198.48
ZTF18abvgjgb,VLASS2.2,0.294,0.098,1172.48
ZTF18abvgjyl,VLASS1.2v2,0.275,0.112,197.48
ZTF18abvgjyl,VLASS2.2,0.392,0.11,1148.48
ZTF18abvglon,VLASS1.1v2,0.461,0.136,-350.52
ZTF18abvglon,VLASS2.1,0.62,0.174,709.48
ZTF18abvglon,VLASS3.1,0.378,0.122,1609.48
ZTF18abvkmgw,VLASS1.1v2,0.321,0.123,-348.39
ZTF18abvkmgw,VLASS2.1,0.443,0.158,690.61
ZTF18abvkmgw,VLASS3.1,0.321,0.12,1598.61
ZTF18abvlchy,VLASS1.1v2,0.206,0.112,-320.36
ZTF18abvlchy,VLASS2.1,0.331,0.154,754.64
ZTF18abvlchy,VLASS3.1,0.417,0.151,1631.64
ZTF18abvmlow,VLASS1.1v2,0.457,0.16,-385.15
ZTF18abvmlow,VLASS2.1,0.488,0.223,588.85
ZTF18abvmlow,VLASS3.1,0.294,0.13,1478.85
ZTF18abvptts,VLASS1.2v2,0.339,0.126,255.75
ZTF18abvptts,VLASS2.2,0.37,0.114,1133.75
ZTF18abvrzqj,VLASS1.1v2,0.333,0.125,-288.36
ZTF18abvrzqj,VLASS2.1,0.409,0.121,749.64
ZTF18abvrzqj,VLASS3.1,0.384,0.148,1639.64
ZTF18abvsvjs,VLASS2.1,0.517,0.258,676.56
ZTF18abvsvjs,VLASS3.1,0.613,0.189,1592.56
ZTF18abvtrnc,VLASS1.2v2,0.258,0.108,213.62
ZTF18abvtrnc,VLASS2.2,0.257,0.111,1109.62
ZTF18abvvmdf,VLASS1.1v2,0.299,0.09,-339.14
ZTF18abvvmdf,VLASS2.1,0.415,0.143,711.86
ZTF18abvvmdf,VLASS3.1,0.351,0.112,1603.86
ZTF18abvxoty,VLASS1.1v2,0.357,0.132,-282.33
ZTF18abvxoty,VLASS2.1,0.376,0.151,662.67
ZTF18abvxoty,VLASS3.1,0.48,0.176,1594.67
ZTF18abvxqtp,VLASS1.1v2,0.457,0.148,-300.27
ZTF18abvxqtp,VLASS2.1,0.336,0.144,677.73
ZTF18abvxqtp,VLASS3.1,0.458,0.148,1682.73
ZTF18abvzdvj,VLASS1.1v2,0.188,0.092,-355.29
ZTF18abvzdvj,VLASS2.1,0.405,0.141,694.71
ZTF18abvzdvj,VLASS3.1,0.397,0.133,1624.71
ZTF18abwbaim,VLASS1.2v2,0.442,0.162,287.6
ZTF18abwbaim,VLASS2.2,0.477,0.128,1238.6
ZTF18abwckzf,VLASS1.1v2,0.328,0.122,-331.52
ZTF18abwckzf,VLASS2.1,0.384,0.133,737.48
ZTF18abwckzf,VLASS3.1,0.455,0.165,1593.48
ZTF18abwclem,VLASS1.1v2,0.222,0.105,-297.52
ZTF18abwclem,VLASS2.1,0.418,0.16,672.48
ZTF18abwclem,VLASS3.1,0.283,0.125,1582.48
ZTF18abwcooy,VLASS1.1v2,0.341,0.12,-306.12
ZTF18abwcooy,VLASS2.1,0.304,0.155,679.88
ZTF18abwcooy,VLASS3.1,0.198,0.087,1596.88
ZTF18abwdcdv,VLASS1.1v2,0.307,0.127,-378.18
ZTF18abwdcdv,VLASS2.1,0.441,0.166,676.82
ZTF18abwdcdv,VLASS3.1,0.247,0.112,1597.82
ZTF18abwerpm,VLASS1.2v2,0.365,0.17,290.67
ZTF18abwerpm,VLASS2.2,0.431,0.179,1234.67
ZTF18abwitkf,VLASS1.1v2,0.353,0.097,-1067.11
ZTF18abwitkf,VLASS2.1,0.343,0.133,-75.11
ZTF18abwitkf,VLASS3.1,0.249,0.113,877.89
ZTF18abwkczr,VLASS1.1v2,0.351,0.154,-386.38
ZTF18abwkczr,VLASS2.1,0.359,0.184,681.62
ZTF18abwkczr,VLASS3.1,0.516,0.122,1594.62
ZTF18abwkrbl,VLASS1.2v2,0.457,0.171,189.55
ZTF18abwkrbl,VLASS2.2,0.326,0.113,1136.55
ZTF18abwktmm,VLASS1.2v2,0.386,0.15,221.5
ZTF18abwktmm,VLASS2.2,0.375,0.182,1220.5
ZTF18abwkzuc,VLASS1.2v2,0.383,0.135,212.55
ZTF18abwkzuc,VLASS2.2,0.222,0.105,1142.55
ZTF18abwlonm,VLASS1.2v2,0.313,0.123,195.5
ZTF18abwlonm,VLASS2.2,0.271,0.087,1144.5
ZTF18abwlopg,VLASS1.2v2,0.44,0.136,198.52
ZTF18abwlopg,VLASS2.2,0.326,0.126,1174.52
ZTF18abwlsoi,VLASS1.1v2,0.326,0.119,-348.2
ZTF18abwlsoi,VLASS2.1,0.317,0.123,721.8
ZTF18abwlsoi,VLASS3.1,0.391,0.123,1615.8
ZTF18abwlupf,VLASS1.1v2,0.297,0.116,-442.54
ZTF18abwlupf,VLASS2.1,0.423,0.164,630.46
ZTF18abwlupf,VLASS3.1,0.479,0.121,1533.46
ZTF18abwmuua,VLASS1.1v2,0.359,0.12,-307.13
ZTF18abwmuua,VLASS2.1,0.481,0.141,713.87
ZTF18abwmuua,VLASS3.1,0.302,0.111,1576.87
ZTF18abwwfyo,VLASS1.2v2,0.483,0.175,198.69
ZTF18abwwfyo,VLASS2.2,0.325,0.129,1139.69
ZTF18abwwuug,VLASS1.1v2,0.351,0.144,-355.33
ZTF18abwwuug,VLASS2.1,0.347,0.151,657.67
ZTF18abwwuug,VLASS3.1,0.365,0.156,1591.67
ZTF18abwxhjo,VLASS1.1v2,0.298,0.115,-298.37
ZTF18abwxhjo,VLASS2.1,0.496,0.176,679.63
ZTF18abwxhjo,VLASS3.1,0.449,0.152,1684.63
ZTF18abwztji,VLASS1.1v2,0.251,0.116,-1599.18
ZTF18abwztji,VLASS2.1,0.392,0.132,-526.18
ZTF18abwztji,VLASS3.1,0.257,0.15,347.82
ZTF18abxbhov,VLASS1.2v2,0.312,0.117,229.54
ZTF18abxbhov,VLASS2.2,0.28,0.115,1114.54
ZTF18abxbmcl,VLASS1.2v2,0.252,0.121,194.5
ZTF18abxbmcl,VLASS2.2,0.356,0.137,1106.5
ZTF18abxbmqh,VLASS1.1v2,0.21,0.11,-436.51
ZTF18abxbmqh,VLASS2.1,0.273,0.125,675.49
ZTF18abxbmqh,VLASS3.1,0.313,0.106,1525.49
ZTF18abxbugc,VLASS1.1v2,0.501,0.113,-373.52
ZTF18abxbugc,VLASS2.1,0.237,0.119,708.48
ZTF18abxbugc,VLASS3.1,0.21,0.134,1636.48
ZTF18abxbwwf,VLASS1.2v2,0.344,0.134,186.79
ZTF18abxbwwf,VLASS2.2,0.322,0.132,1114.79
ZTF18abxdkni,VLASS1.2v2,0.312,0.15,269.85
ZTF18abxdkni,VLASS2.2,0.242,0.105,1165.85
ZTF18abxdtyz,VLASS1.2v2,0.268,0.108,234.73
ZTF18abxdtyz,VLASS2.2,0.328,0.125,1135.73
ZTF18abxftqm,VLASS1.2v2,0.429,0.121,181.67
ZTF18abxftqm,VLASS2.2,0.335,0.122,1074.67
ZTF18abxhaop,VLASS1.2v2,0.487,0.167,-798.38
ZTF18abxhaop,VLASS2.2,0.372,0.155,157.62
ZTF18abxhsyn,VLASS1.1v2,0.366,0.14,-1060.31
ZTF18abxhsyn,VLASS2.1,0.552,0.158,-56.31
ZTF18abxhsyn,VLASS3.1,0.483,0.133,848.69
ZTF18abxjekh,VLASS1.2v2,0.314,0.121,195.5
ZTF18abxjekh,VLASS2.2,0.242,0.095,1171.5
ZTF18abxmxbh,VLASS1.1v2,0.305,0.123,-2066.25
ZTF18abxmxbh,VLASS2.1,0.353,0.137,-1074.25
ZTF18abxmxbh,VLASS3.1,0.456,0.148,-121.25
ZTF18abxoqkd,VLASS1.1v2,0.246,0.136,-1459.24
ZTF18abxoqkd,VLASS2.1,0.398,0.144,-433.24
ZTF18abxoqkd,VLASS3.1,0.297,0.126,537.76
ZTF18abxqemv,VLASS1.2v2,0.399,0.154,537.76
ZTF18abxqemv,VLASS2.2,0.425,0.148,537.76
ZTF18abxroxl,VLASS1.1v2,0.38,0.149,-367.36
ZTF18abxroxl,VLASS2.1,0.301,0.134,705.64
ZTF18abxroxl,VLASS3.1,0.301,0.139,1579.64
ZTF18abxtoqz,VLASS1.1v2,0.308,0.116,-2234.24
ZTF18abxtoqz,VLASS2.1,0.259,0.115,-1161.24
ZTF18abxtoqz,VLASS3.1,0.279,0.135,-287.24
ZTF18abxtvqc,VLASS1.1v2,0.27,0.131,-1885.12
ZTF18abxtvqc,VLASS2.1,0.511,0.188,-857.12
ZTF18abxtvqc,VLASS3.1,0.291,0.11,55.88
ZTF18abxxssh,VLASS1.2v2,0.296,0.115,220.88
ZTF18abxxssh,VLASS2.2,0.398,0.143,1106.88
ZTF18abxygvv,VLASS1.2v2,0.235,0.11,194.86
ZTF18abxygvv,VLASS2.2,0.273,0.108,1158.86
ZTF18abxyudf,VLASS1.1v2,0.364,0.136,-382.23
ZTF18abxyudf,VLASS2.1,0.387,0.138,689.77
ZTF18abxyudf,VLASS3.1,0.488,0.167,1586.77
ZTF18abykswp,VLASS1.2v2,0.308,0.095,219.49
ZTF18abykswp,VLASS2.2,0.344,0.131,1097.49
ZTF18abyvenk,VLASS1.1v2,0.525,0.147,-358.12
ZTF18abyvenk,VLASS2.1,0.454,0.163,685.88
ZTF18abyvenk,VLASS3.1,0.45,0.111,1618.88
ZTF18abywcnl,VLASS1.1v2,0.283,0.137,-419.1
ZTF18abywcnl,VLASS2.1,0.38,0.151,660.9
ZTF18abywcnl,VLASS3.1,0.428,0.156,1591.9
ZTF18abyxwrf,VLASS1.2v2,0.338,0.116,189.62
ZTF18abyxwrf,VLASS2.2,0.431,0.122,1113.62
ZTF18abyzksx,VLASS1.1v2,0.355,0.136,-382.25
ZTF18abyzksx,VLASS2.1,0.337,0.137,689.75
ZTF18abyzksx,VLASS3.1,0.35,0.123,1586.75
ZTF18abyzlhn,VLASS1.1v2,0.42,0.149,-284.18
ZTF18abyzlhn,VLASS2.1,0.383,0.186,660.82
ZTF18abyzlhn,VLASS3.1,0.441,0.157,1592.82
ZTF18abzbkby,VLASS1.1v2,0.186,0.107,-366.37
ZTF18abzbkby,VLASS2.1,0.273,0.136,664.63
ZTF18abzbkby,VLASS3.1,0.275,0.105,1580.63
ZTF18abzpbpi,VLASS1.2v2,0.268,0.114,216.5
ZTF18abzpbpi,VLASS2.2,0.268,0.111,1138.5
ZTF18abzqsxk,VLASS1.1v2,0.335,0.096,-1986.51
ZTF18abzqsxk,VLASS2.1,0.443,0.157,-918.51
ZTF18abzqsxk,VLASS3.1,0.254,0.112,-11.51
ZTF18abzrgim,VLASS1.2v2,0.211,0.12,153.91
ZTF18abzrgim,VLASS2.2,0.275,0.098,1073.91
ZTF18abzscns,VLASS1.1v2,0.346,0.14,-235.34
ZTF18abzscns,VLASS2.1,0.296,0.141,756.66
ZTF18abzscns,VLASS3.1,0.36,0.149,1709.66
ZTF18abzsflf,VLASS1.2v2,0.23,0.11,193.78
ZTF18abzsflf,VLASS2.2,0.295,0.105,1169.78
ZTF18abzwdsj,VLASS1.1v2,0.379,0.122,-347.25
ZTF18abzwdsj,VLASS2.1,0.419,0.179,690.75
ZTF18abzwdsj,VLASS3.1,0.456,0.156,1585.75
ZTF18abzzkyg,VLASS1.2v2,0.427,0.146,-1309.22
ZTF18abzzkyg,VLASS2.2,0.5,0.18,-287.22
ZTF18acacnmr,VLASS1.1v2,0.331,0.12,-379.11
ZTF18acacnmr,VLASS2.1,0.367,0.112,699.89
ZTF18acacnmr,VLASS3.1,0.257,0.102,1590.89
ZTF18acaeous,VLASS1.1v2,0.258,0.12,-297.34
ZTF18acaeous,VLASS2.1,0.375,0.189,747.66
ZTF18acaeous,VLASS3.1,0.397,0.166,1630.66
ZTF18acaezsx,VLASS1.2v2,0.325,0.141,-1548.29
ZTF18acaezsx,VLASS2.2,0.31,0.146,-596.29
ZTF18acafztq,VLASS1.2v2,0.409,0.142,195.5
ZTF18acafztq,VLASS2.2,0.372,0.106,1171.5
ZTF18acahuph,VLASS1.1v2,0.282,0.117,-377.22
ZTF18acahuph,VLASS2.1,0.311,0.134,647.78
ZTF18acahuph,VLASS3.1,0.329,0.123,1584.78
ZTF18acahvwm,VLASS1.1v2,0.367,0.14,-380.24
ZTF18acahvwm,VLASS2.1,0.555,0.179,644.76
ZTF18acahvwm,VLASS3.1,0.517,0.142,1581.76
ZTF18acaimrb,VLASS1.1v2,0.895,0.308,-366.19
ZTF18acaimrb,VLASS2.1,0.437,0.177,645.81
ZTF18acaimrb,VLASS3.1,0.389,0.146,1574.81
ZTF18acaipdc,VLASS1.1v2,0.338,0.133,-382.25
ZTF18acaipdc,VLASS2.1,0.361,0.163,670.75
ZTF18acaipdc,VLASS3.1,0.356,0.162,1571.75
ZTF18acakwsu,VLASS1.1v2,0.332,0.133,-370.46
ZTF18acakwsu,VLASS2.1,0.651,0.178,649.54
ZTF18acakwsu,VLASS3.1,0.288,0.116,1610.54
ZTF18acapyww,VLASS1.1v2,0.281,0.091,-424.1
ZTF18acapyww,VLASS2.1,0.321,0.155,NA
ZTF18acapyww,VLASS3.1,0.455,0.109,1622.9
ZTF18acaqbvs,VLASS1.1v2,0.351,0.133,-393.09
ZTF18acaqbvs,VLASS2.1,0.301,0.121,675.91
ZTF18acaqbvs,VLASS3.1,0.358,0.142,1591.91
ZTF18acaqcdg,VLASS1.1v2,0.273,0.12,-393.09
ZTF18acaqcdg,VLASS2.1,0.27,0.109,675.91
ZTF18acaqcdg,VLASS3.1,0.33,0.122,1591.91
ZTF18acaqdaa,VLASS1.1v2,0.329,0.131,-404.09
ZTF18acaqdaa,VLASS2.1,0.438,0.141,671.91
ZTF18acaqdaa,VLASS3.1,0.192,0.102,1530.91
ZTF18acarupz,VLASS1.2v2,0.434,0.131,168.89
ZTF18acarupz,VLASS2.2,0.25,0.124,1086.89
ZTF18acaszeh,VLASS1.2v2,0.311,0.126,204.7
ZTF18acaszeh,VLASS2.2,0.326,0.103,1128.7
ZTF18acatuts,VLASS1.1v2,0.251,0.131,-377.25
ZTF18acatuts,VLASS2.1,0.454,0.162,667.75
ZTF18acatuts,VLASS3.1,0.444,0.168,1612.75
ZTF18acaucsw,VLASS1.1v2,0.314,0.128,-1282.43
ZTF18acaucsw,VLASS2.1,0.528,0.151,-260.43
ZTF18acaucsw,VLASS3.1,0.367,0.16,705.57
ZTF18acbudzh,VLASS1.1v2,0.43,0.151,-339.32
ZTF18acbudzh,VLASS2.1,0.329,0.158,719.68
ZTF18acbudzh,VLASS3.1,0.543,0.221,1606.68
ZTF18acbudzo,VLASS1.1v2,0.292,0.105,-343.32
ZTF18acbudzo,VLASS2.1,0.317,0.161,682.68
ZTF18acbudzo,VLASS3.1,0.343,0.132,1653.68
ZTF18acbuemc,VLASS1.1v2,0.324,0.132,-385.2
ZTF18acbuemc,VLASS2.1,0.438,0.155,632.8
ZTF18acbuemc,VLASS3.1,0.459,0.122,1642.8
ZTF18acbufud,VLASS1.1v2,0.379,0.142,-399.32
ZTF18acbufud,VLASS2.1,0.271,0.139,673.68
ZTF18acbufud,VLASS3.1,0.318,0.148,1547.68
ZTF18acbujhw,VLASS1.2v2,0.332,0.125,133.71
ZTF18acbujhw,VLASS2.2,0.297,0.114,1080.71
ZTF18acbvahw,VLASS1.1v2,0.41,0.125,-320.33
ZTF18acbvahw,VLASS2.1,0.475,0.177,653.67
ZTF18acbvahw,VLASS3.1,0.419,0.157,1590.67
ZTF18acbvbox,VLASS1.2v2,0.551,0.17,199.67
ZTF18acbvbox,VLASS2.2,0.306,0.138,1186.67
ZTF18acbvcmw,VLASS1.2v2,0.369,0.164,184.71
ZTF18acbvcmw,VLASS2.2,0.457,0.154,1171.71
ZTF18acbvgqw,VLASS1.2v2,8.312,0.682,159.75
ZTF18acbvgqw,VLASS2.2,8.543,0.588,1181.75
ZTF18acbvgry,VLASS1.2v2,0.462,0.16,247.65
ZTF18acbvgry,VLASS2.2,0.308,0.127,1192.65
ZTF18acbvgtu,VLASS1.2v2,0.659,0.177,232.65
ZTF18acbvgtu,VLASS2.2,0.582,0.183,1200.65
ZTF18acbvhfl,VLASS1.2v2,0.376,0.145,176.69
ZTF18acbvhfl,VLASS2.2,0.454,0.158,1175.69
ZTF18acbvhit,VLASS1.2v2,0.535,0.182,193.73
ZTF18acbvhit,VLASS2.2,0.411,0.187,1181.73
ZTF18acbvnen,VLASS1.1v2,0.326,0.12,-404.39
ZTF18acbvnen,VLASS2.1,0.413,0.151,NA
ZTF18acbvnen,VLASS3.1,0.293,0.114,1562.61
ZTF18acbvpzj,VLASS1.2v2,0.913,0.274,238.71
ZTF18acbvpzj,VLASS2.2,0.537,0.243,1183.71
ZTF18acbwaax,VLASS1.2v2,0.417,0.127,210.53
ZTF18acbwaax,VLASS2.2,0.258,0.105,1129.53
ZTF18acbwarv,VLASS1.2v2,0.544,0.184,201.5
ZTF18acbwarv,VLASS2.2,0.261,0.1,1069.5
ZTF18acbwasc,VLASS1.2v2,1.731,0.264,161.52
ZTF18acbwasc,VLASS2.2,1.993,0.193,1105.52
ZTF18acbwasl,VLASS1.2v2,0.274,0.13,182.46
ZTF18acbwasl,VLASS2.2,0.253,0.095,1105.46
ZTF18acbwavp,VLASS1.1v2,0.31,0.124,-404.53
ZTF18acbwavp,VLASS2.1,0.353,0.159,639.47
ZTF18acbwavp,VLASS3.1,0.353,0.14,1560.47
ZTF18acbwawc,VLASS1.1v2,0.348,0.133,-339.53
ZTF18acbwawc,VLASS2.1,0.487,0.144,660.47
ZTF18acbwawc,VLASS3.1,0.307,0.108,1579.47
ZTF18acbwaxk,VLASS1.1v2,0.353,0.133,-488.53
