Transient Name,Epoch,Peak Flux,RMS Flux,Delta T
ZTF18aahfeiy,VLASS2.2,0.297,0.131,1281.79
ZTF18aahfgyz,VLASS1.2v2,0.242,0.103,366.7
ZTF18aahfgyz,VLASS2.2,0.312,0.115,1308.7
ZTF18aahfqbc,VLASS1.1v2,0.702,0.246,-147.23
ZTF18aahfqbc,VLASS2.1,0.623,0.187,896.77
ZTF18aahfqbc,VLASS3.1,0.328,0.139,1799.77
ZTF18aahfxnn,VLASS1.1v2,0.298,0.132,-106.25
ZTF18aahfxnn,VLASS2.1,0.308,0.125,823.75
ZTF18aahfxnn,VLASS3.1,0.336,0.142,1741.75
ZTF18aahfzea,VLASS1.1v2,0.325,0.114,-171.26
ZTF18aahfzea,VLASS2.1,0.34,0.148,850.74
ZTF18aahfzea,VLASS3.1,0.306,0.121,1763.74
ZTF18aahheaj,VLASS1.2v2,0.303,0.127,357.73
ZTF18aahheaj,VLASS2.2,0.353,0.138,1307.73
ZTF18aahhenr,VLASS1.1v2,0.298,0.131,-195.28
ZTF18aahhenr,VLASS2.1,0.369,0.14,875.72
ZTF18aahhenr,VLASS3.1,0.269,0.101,1781.72
ZTF18aahhqih,VLASS1.2v2,0.998,0.173,376.78
ZTF18aahhqih,VLASS2.2,1.242,0.153,1295.78
ZTF18aahhzqn,VLASS1.2v2,0.382,0.129,388.75
ZTF18aahhzqn,VLASS2.2,0.316,0.134,1294.75
ZTF18aahjafd,VLASS1.1v2,0.287,0.1,-212.19
ZTF18aahjafd,VLASS2.1,0.426,0.135,811.81
ZTF18aahjafd,VLASS3.1,0.301,0.105,1733.81
ZTF18aahmhxu,VLASS1.2v2,0.27,0.125,325.77
ZTF18aahmhxu,VLASS2.2,0.448,0.128,1272.77
ZTF18aahpbwz,VLASS1.2v2,0.306,0.123,348.85
ZTF18aahpbwz,VLASS2.2,0.324,0.1,1293.85
ZTF18aahptcq,VLASS1.2v2,0.258,0.114,416.8
ZTF18aahptcq,VLASS2.2,0.318,0.129,1272.8
ZTF18aahqkbt,VLASS1.2v2,0.35,0.148,377.84
ZTF18aahqkbt,VLASS2.2,0.338,0.128,1263.84
ZTF18aahqmsr,VLASS1.2v2,0.621,0.281,406.83
ZTF18aahqmsr,VLASS2.2,0.423,0.182,1320.83
ZTF18aahrzkb,VLASS1.1v2,0.37,0.133,-1072.49
ZTF18aahrzkb,VLASS2.1,0.47,0.143,-39.49
ZTF18aahrzkb,VLASS3.1,0.287,0.101,812.51
ZTF18aahshhp,VLASS1.1v2,0.21,0.096,-832.32
ZTF18aahshhp,VLASS2.1,0.325,0.139,184.68
ZTF18aahshhp,VLASS3.1,0.395,0.133,1073.68
ZTF18aahtjsc,VLASS1.2v2,0.368,0.124,33.76
ZTF18aahtjsc,VLASS2.2,0.378,0.115,977.76
ZTF18aahuujv,VLASS1.1v2,0.258,0.108,-651.25
ZTF18aahuujv,VLASS2.1,0.439,0.17,427.75
ZTF18aahuujv,VLASS3.1,0.256,0.099,1297.75
ZTF18aahvkwq,VLASS1.1v2,0.252,0.108,-1875.48
ZTF18aahvkwq,VLASS2.1,0.312,0.116,-826.48
ZTF18aahvkwq,VLASS3.1,0.277,0.1,4.52
ZTF18aahvndq,VLASS1.1v2,0.525,0.126,-909.3
ZTF18aahvndq,VLASS2.1,0.427,0.143,107.7
ZTF18aahvndq,VLASS3.1,0.266,0.119,982.7
ZTF18aahvpcy,VLASS1.1v2,0.302,0.119,-1601.39
ZTF18aahvpcy,VLASS2.1,0.333,0.132,-533.39
ZTF18aahvpcy,VLASS3.1,0.344,0.142,372.61
ZTF18aahwhbk,VLASS1.1v2,0.346,0.089,-1703.21
ZTF18aahwhbk,VLASS2.1,0.398,0.139,-717.21
ZTF18aahwhbk,VLASS3.1,0.263,0.096,199.79
ZTF18aaiiigm,VLASS1.2v2,0.318,0.102,28.75
ZTF18aaiiigm,VLASS2.2,0.334,0.113,1013.75
ZTF18aailmnv,VLASS1.1v2,0.322,0.118,-240.28
ZTF18aailmnv,VLASS2.1,0.467,0.14,740.72
ZTF18aailmnv,VLASS3.1,0.265,0.109,1661.72
ZTF18aairuad,VLASS1.1v2,0.282,0.12,-143.26
ZTF18aairuad,VLASS2.1,0.367,0.13,856.74
ZTF18aairuad,VLASS3.1,0.382,0.13,1775.74
ZTF18aaisqmw,VLASS1.1v2,0.772,0.156,-1184.51
ZTF18aaisqmw,VLASS2.1,0.732,0.187,-140.51
ZTF18aaisqmw,VLASS3.1,0.596,0.127,780.49
ZTF18aaisuxz,VLASS1.2v2,0.598,0.226,-1271.53
ZTF18aaisuxz,VLASS2.2,0.332,0.12,-310.53
ZTF18aaisybp,VLASS1.2v2,0.345,0.128,-375.3
ZTF18aaisybp,VLASS2.2,0.267,0.093,603.7
ZTF18aaisyyp,VLASS1.1v2,0.312,0.144,-157.23
ZTF18aaisyyp,VLASS2.1,0.42,0.162,837.77
ZTF18aaisyyp,VLASS3.1,0.281,0.138,1734.77
ZTF18aaivnak,VLASS1.1v2,1.669,0.177,-2047.32
ZTF18aaivnak,VLASS2.1,2.267,0.267,-1002.32
ZTF18aaivnak,VLASS3.1,2.039,0.261,-154.32
ZTF18aaiwewk,VLASS1.1v2,0.393,0.125,-1561.39
ZTF18aaiwewk,VLASS2.1,0.437,0.15,-574.39
ZTF18aaiwewk,VLASS3.1,0.294,0.135,346.61
ZTF18aaiwzie,VLASS1.1v2,0.419,0.113,-1918.5
ZTF18aaiwzie,VLASS2.1,0.346,0.123,-873.5
ZTF18aaiwzie,VLASS3.1,0.31,0.115,-25.5
ZTF18aaiykoz,VLASS1.2v2,1.468,0.473,-455.24
ZTF18aaiykoz,VLASS2.2,0.623,0.166,469.76
ZTF18aaizerg,VLASS1.1v2,0.29,0.113,-768.57
ZTF18aaizerg,VLASS2.1,0.408,0.146,205.43
ZTF18aaizerg,VLASS3.1,0.287,0.105,1122.43
ZTF18aajivpr,VLASS1.1v2,0.254,0.107,-937.29
ZTF18aajivpr,VLASS2.1,0.533,0.207,106.71
ZTF18aajivpr,VLASS3.1,0.311,0.101,1027.71
ZTF18aajjhkq,VLASS1.2v2,0.374,0.11,-619.43
ZTF18aajjhkq,VLASS2.2,0.493,0.121,308.57
ZTF18aajkcdn,VLASS1.2v2,0.276,0.129,-1322.49
ZTF18aajkcdn,VLASS2.2,0.262,0.114,-358.49
ZTF18aajkrxi,VLASS1.1v2,0.294,0.149,-1602.3
ZTF18aajkrxi,VLASS2.1,0.278,0.119,-569.3
ZTF18aajkrxi,VLASS3.1,0.366,0.148,282.7
ZTF18aajpjdi,VLASS1.1v2,0.278,0.102,-163.21
ZTF18aajpjdi,VLASS2.1,0.367,0.123,853.79
ZTF18aajpjdi,VLASS3.1,0.265,0.126,1728.79
ZTF18aajqcue,VLASS1.1v2,0.327,0.11,-188.18
ZTF18aajqcue,VLASS2.1,0.534,0.185,792.82
ZTF18aajqcue,VLASS3.1,0.43,0.145,1713.82
ZTF18aajtlbf,VLASS1.1v2,0.366,0.131,-219.45
ZTF18aajtlbf,VLASS2.1,0.297,0.146,835.55
ZTF18aajtlbf,VLASS3.1,0.227,0.096,1756.55
ZTF18aajvqye,VLASS1.1v2,0.205,0.094,-2073.29
ZTF18aajvqye,VLASS2.1,0.268,0.117,-1036.29
ZTF18aajvqye,VLASS3.1,0.293,0.118,-128.29
ZTF18aakaljn,VLASS1.2v2,0.465,0.148,361.84
ZTF18aakaljn,VLASS2.2,0.287,0.132,1299.84
ZTF18aakctzv,VLASS1.1v2,0.39,0.152,-227.25
ZTF18aakctzv,VLASS2.1,0.335,0.151,796.75
ZTF18aakctzv,VLASS3.1,0.41,0.122,1718.75
ZTF18aakecej,VLASS1.1v2,0.268,0.127,-156.18
ZTF18aakecej,VLASS2.1,0.326,0.156,830.82
ZTF18aakecej,VLASS3.1,0.276,0.133,1751.82
ZTF18aakfabl,VLASS1.1v2,1.393,0.286,-391.49
ZTF18aakfabl,VLASS2.1,1.442,0.351,704.51
ZTF18aakfabl,VLASS3.1,1.366,0.309,1567.51
ZTF18aakiwbs,VLASS1.1v2,0.281,0.126,-943.44
